id,company,title,publish_date,type,open_source,summary,details,url,tags,created_at
rss_https://simonwillison.net/2026/May/17/gds-weighs-in/#atom-everything,Simon Willison,GDS weighs in on the NHS's decision to retreat from Open Source,2026-05-17,其他,否,"<p><strong><a href=""https://shkspr.mobi/blog/2026/05/gds-weighs-in-on-the-nhss-decision-to-retreat-from-open-source/"">GDS weighs in on the NHS&#x27;s decision to retreat from Open Source</a></strong><",,https://simonwillison.net/2026/May/17/gds-weighs-in/#atom-everything,,2026-05-18 06:07:21
rss_https://huggingface.co/blog/ibm-research/open-agent-leaderboard,Hugging Face,The Open Agent Leaderboard,2026-05-18,其他,否,,,https://huggingface.co/blog/ibm-research/open-agent-leaderboard,,2026-05-19 06:02:03
rss_https://deepmind.google/blog/introducing-gemini-omni/,Google DeepMind,Introducing Gemini Omni,2026-05-17,其他,否,,,https://deepmind.google/blog/introducing-gemini-omni/,,2026-05-20 06:01:36
rss_https://deepmind.google/blog/gemini-for-science-ai-experiments-and-tools-for-a-new-era-of-discovery/,Google DeepMind,Gemini for Science: AI experiments and tools for a new era of discovery,2026-05-17,其他,否,A collection of science tools and experiments to expand the scale and precision of scientific exploration.,,https://deepmind.google/blog/gemini-for-science-ai-experiments-and-tools-for-a-new-era-of-discovery/,,2026-05-20 06:01:36
rss_https://deepmind.google/blog/opening-new-paths-in-aging-research/,Google DeepMind,Opening new paths in aging research,2026-05-16,其他,否,Calico Life Sciences uses Co-Scientist to connect scattered findings and generate new leads in aging research.,,https://deepmind.google/blog/opening-new-paths-in-aging-research/,,2026-05-20 06:01:36
rss_https://deepmind.google/blog/uniting-biological-toolkits-for-a-new-approach-to-als/,Google DeepMind,Uniting biological toolkits for a new approach to ALS,2026-05-16,其他,否,Co-Scientist unites Boston Children’s Hospital and MIT’s labs to explore new RNA-based treatments for ALS.,,https://deepmind.google/blog/uniting-biological-toolkits-for-a-new-approach-to-als/,,2026-05-20 06:01:36
rss_https://deepmind.google/blog/gemini-3-5-frontier-intelligence-with-action/,Google DeepMind,Gemini 3.5: frontier intelligence with action,2026-05-15,其他,否,"Gemini 3.5 is built to help you execute complex, agentic workflows.",,https://deepmind.google/blog/gemini-3-5-frontier-intelligence-with-action/,,2026-05-20 06:01:36
rss_https://blog.google/innovation-and-ai/sundar-pichai-io-2026/,Google AI,I/O 2026: Welcome to the agentic Gemini era,2026-05-19,其他,否,a series of colorful icons representing Google I/O against a black background,,https://blog.google/innovation-and-ai/sundar-pichai-io-2026/,,2026-05-20 06:01:36
rss_https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5/,Google AI,Gemini 3.5: frontier intelligence with action,2026-05-19,其他,否,Gemini 3.5 text and multi-colored star icon on an abstract blue background.,,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5/,,2026-05-20 06:01:36
rss_https://huggingface.co/blog/allenai/olmoearth-v1-1,Hugging Face,OlmoEarth v1.1: A more efficient family of models,2026-05-19,其他,否,,,https://huggingface.co/blog/allenai/olmoearth-v1-1,,2026-05-20 06:01:37
